2026-02-19 23:57:06 | root                           | INFO     | ================================================================================
2026-02-19 23:57:06 | root                           | INFO     | MEET ASSISTANT INICIADO - Log file: logs\meet_assistant_20260219_235706.log
2026-02-19 23:57:06 | root                           | INFO     | ================================================================================
2026-02-19 23:57:06 | root                           | INFO     | Log level: INFO
2026-02-19 23:57:19 | __main__                       | INFO     | Iniciando Meet Assistant AI v3.2...
2026-02-19 23:57:19 | core.ai_services               | INFO     | Gemini API configurado com sucesso
2026-02-19 23:57:19 | core.ai_services               | INFO     | Whisper pronto para lazy loading (carregará na primeira uso)
2026-02-19 23:57:19 | core.ai_services               | INFO     | Google Speech Recognition inicializado
2026-02-19 23:57:19 | gui.app_window                 | INFO     | Calibrando ruído com device 1...
2026-02-19 23:57:20 | gui.app_window                 | INFO     | Calibração de ruído concluída
2026-02-19 23:57:20 | core.audio_engine              | INFO     | AudioEngine criado com ThreadPoolExecutor (max_workers=2)
2026-02-19 23:57:20 | gui.app_window                 | INFO     | MeetAssistantApp inicializado com sucesso
2026-02-19 23:57:21 | core.audio_engine              | INFO     | AudioEngine iniciado
2026-02-19 23:57:21 | core.audio_engine              | INFO     | Abrindo stream PyAudio: device=1, rate=48000, channels=2
2026-02-19 23:57:21 | core.audio_engine              | INFO     | Stream PyAudio aberto com sucesso
2026-02-19 23:57:25 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:28 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:32 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:35 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:39 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:42 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:46 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:49 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:53 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:57:56 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:00 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:03 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:07 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:10 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:14 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:17 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:21 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:24 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:28 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:31 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:35 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:38 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:42 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:45 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:49 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:52 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:56 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:58:59 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:03 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:06 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:10 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:13 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:17 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:20 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:24 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:27 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:31 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:34 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:38 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:41 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:45 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:48 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:52 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:55 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-19 23:59:59 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-20 00:00:02 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-20 00:00:06 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-20 00:00:09 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-20 00:00:13 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-20 00:00:16 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-20 00:00:20 | gui.app_window                 | INFO     | Processando 671744 bytes de áudio no Copilot
2026-02-20 00:00:22 | gui.app_window                 | INFO     | Encerrando MeetAssistantApp...
2026-02-20 00:00:22 | core.audio_engine              | INFO     | ThreadPoolExecutor finalizado
2026-02-20 00:00:22 | core.audio_engine              | INFO     | AudioEngine parado
2026-02-20 00:00:22 | core.audio_engine              | INFO     | Stream PyAudio fechado com sucesso
2026-02-20 00:00:22 | core.audio_engine              | INFO     | PyAudio terminado
2026-02-20 00:00:22 | __main__                       | INFO     | Meet Assistant encerrado
